PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3 POINT MADE,3 POINT ATTEMPTED,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS/MINUS,FP
Anthony Edwards,MIN,MIN vs. DAL,01/31/2024,W,30,9,3,5,60,1,2,50,2,2,100,0,5,5,5,0,0,2,1,18,20.5
Kevin Durant,PHX,PHX @ BKN,01/31/2024,W,38,33,10,16,62.5,2,6,33.3,11,12,91.7,0,5,5,8,0,2,3,1,20,54
Victor Wembanyama,SAS,SAS vs. ORL,01/31/2024,L,30,21,7,15,46.7,2,5,40,5,5,100,0,8,8,3,2,5,3,3,-8,53.1
Wendell Carter Jr.,ORL,ORL @ SAS,01/31/2024,W,26,14,3,7,42.9,1,3,33.3,7,8,87.5,3,2,5,2,0,0,1,4,4,22
Tyrese Maxey,PHI,PHI @ UTA,02/01/2024,W,41,51,17,27,63,7,9,77.8,10,11,90.9,0,2,2,1,0,1,0,4,-2,57.9
Jayson Tatum,BOS,BOS vs. LAL,02/01/2024,L,37,23,8,21,38.1,5,10,50,2,2,100,2,5,7,3,1,1,2,3,-12,39.9
Jalen Brunson,NYK,NYK vs. IND,02/01/2024,W,37,40,15,30,50,1,6,16.7,9,11,81.8,1,4,5,1,0,0,2,3,4,45.5
Stephen Curry,GSW,GSW @ MEM,02/02/2024,W,32,20,6,16,37.5,4,9,44.4,4,4,100,0,6,6,6,1,0,3,1,12,36.2
James Harden,LAC,LAC @ DET,02/02/2024,W,34,4,1,10,10,0,5,0,2,2,100,1,2,3,6,1,0,1,1,8,18.6
Shai Gilgeous-Alexander,OKC,OKC vs. CHA,02/02/2024,W,30,31,11,15,73.3,1,1,100,8,10,80,0,3,3,9,5,3,3,2,34,69.1
Anthony Edwards,MIN,MIN vs. ORL,02/02/2024,L,35,22,9,18,50,2,8,25,2,3,66.7,0,1,1,5,1,0,3,1,6,30.7
Kevin Durant,PHX,PHX @ ATL,02/02/2024,L,38,35,14,24,58.3,5,9,55.6,2,2,100,1,7,8,8,2,1,4,3,-1,61.6
Victor Wembanyama,SAS,SAS vs. NOP,02/02/2024,L,28,16,7,14,50,0,3,0,2,2,100,5,9,14,7,2,3,6,2,-9,52.3
Wendell Carter Jr.,ORL,ORL @ MIN,02/02/2024,W,37,18,6,12,50,2,6,33.3,4,6,66.7,3,9,12,1,0,0,0,3,-2,33.9
Trae Young,ATL,ATL vs. PHX,02/02/2024,W,42,32,12,17,70.6,7,11,63.6,1,2,50,0,1,1,15,3,1,7,2,-1,60.7
LeBron James,LAL,LAL @ NYK,02/03/2024,W,40,24,10,19,52.6,2,5,40,2,2,100,1,4,5,5,2,1,1,1,11,45.5
Stephen Curry,GSW,GSW @ ATL,02/03/2024,L,41,60,22,38,57.9,10,23,43.5,6,6,100,1,5,6,4,0,1,2,1,-1,74.2
Tyrese Maxey,PHI,PHI vs. BKN,02/03/2024,L,31,23,8,23,34.8,3,8,37.5,4,6,66.7,1,2,3,5,3,0,1,2,-15,42.1
Giannis Antetokounmpo,MIL,MIL @ DAL,02/03/2024,W,40,48,20,28,71.4,2,5,40,6,10,60,1,5,6,10,5,1,1,3,15,87.2
