PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3 POINT MADE,3 POINT ATTEMPTED,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS/MINUS,FP
Stephen Curry,GSW,GSW @ MIN,03/24/2024,L,30,31,9,21,42.9,5,11,45.5,8,8,100,0,4,4,3,0,0,2,1,6,38.3
James Harden,LAC,LAC vs. PHI,03/24/2024,L,34,12,5,13,38.5,0,6,0,2,2,100,1,3,4,14,1,1,2,0,-16,41.8
Tyrese Maxey,PHI,PHI @ LAC,03/24/2024,W,44,24,9,17,52.9,3,5,60,3,4,75,1,0,1,6,1,1,0,2,15,40.2
Giannis Antetokounmpo,MIL,MIL vs. OKC,03/24/2024,W,34,30,13,18,72.2,0,0,-,4,6,66.7,8,11,19,4,0,1,3,3,7,58.8
Shai Gilgeous-Alexander,OKC,OKC @ MIL,03/24/2024,L,30,12,5,12,41.7,0,3,0,2,3,66.7,0,3,3,2,3,1,4,0,-17,26.6
Anthony Edwards,MIN,MIN vs. GSW,03/24/2024,W,38,23,7,18,38.9,4,8,50,5,8,62.5,0,6,6,8,0,0,2,1,-9,40.2
James Harden,LAC,LAC vs. IND,03/25/2024,L,34,11,3,7,42.9,0,1,0,5,5,100,0,3,3,7,1,0,1,3,-24,27.1
Tyrese Maxey,PHI,PHI @ SAC,03/25/2024,L,35,29,10,16,62.5,5,7,71.4,4,6,66.7,0,3,3,2,0,0,2,3,-15,33.6
Kevin Durant,PHX,PHX @ SAS,03/25/2024,L,36,29,12,17,70.6,4,6,66.7,1,2,50,0,8,8,6,1,0,3,2,5,47.6
Jayson Tatum,BOS,BOS @ ATL,03/25/2024,L,39,37,13,26,50,2,7,28.6,9,11,81.8,2,6,8,5,2,1,2,1,3,61.1
Jalen Brunson,NYK,NYK vs. DET,03/25/2024,W,30,28,10,20,50,3,7,42.9,5,5,100,0,2,2,6,0,0,0,3,37,39.4
Stephen Curry,GSW,GSW @ MIA,03/26/2024,W,31,17,7,15,46.7,3,10,30,0,0,-,1,1,2,6,0,0,1,1,19,27.4
Giannis Antetokounmpo,MIL,MIL vs. LAL,03/26/2024,L,46,29,14,25,56,0,1,0,1,6,16.7,8,13,21,11,2,3,7,3,-13,78.7
Shai Gilgeous-Alexander,OKC,OKC @ NOP,03/26/2024,W,38,24,9,20,45,1,3,33.3,5,6,83.3,2,3,5,8,2,0,0,1,14,48
LeBron James,LAL,LAL @ MEM,03/27/2024,W,35,23,8,14,57.1,0,1,0,7,11,63.6,0,14,14,12,1,0,4,1,33,56.8
Stephen Curry,GSW,GSW @ ORL,03/27/2024,W,35,17,6,18,33.3,3,8,37.5,2,2,100,0,4,4,10,0,0,2,2,18,34.8
James Harden,LAC,LAC @ PHI,03/27/2024,W,39,16,6,15,40,3,9,33.3,1,2,50,0,5,5,14,2,1,1,1,1,51
Tyrese Maxey,PHI,PHI vs. LAC,03/27/2024,L,44,26,9,20,45,3,8,37.5,5,6,83.3,0,7,7,8,1,2,2,1,1,53.4
Anthony Edwards,MIN,MIN vs. DET,03/27/2024,W,29,9,4,11,36.4,1,4,25,0,2,0,1,2,3,5,1,0,3,0,9,20.1
Kevin Durant,PHX,PHX @ DEN,03/27/2024,W,38,30,12,20,60,3,4,75,3,3,100,2,11,13,3,0,5,8,1,11,57.1
Jalen Brunson,NYK,NYK @ TOR,03/27/2024,W,29,26,11,19,57.9,2,6,33.3,2,2,100,1,3,4,7,0,0,0,0,27,41.3
Victor Wembanyama,SAS,SAS @ UTA,03/27/2024,W,30,19,7,15,46.7,1,4,25,4,7,57.1,2,6,8,6,0,5,6,4,10,46.6
Wendell Carter Jr.,ORL,ORL vs. GSW,03/27/2024,L,19,7,3,7,42.9,0,2,0,1,3,33.3,2,4,6,0,2,0,1,1,-16,19.2
Giannis Antetokounmpo,MIL,MIL @ NOP,03/28/2024,L,39,35,15,22,68.2,0,2,0,5,11,45.5,3,11,14,4,0,0,2,5,-2,55.8
Jayson Tatum,BOS,BOS @ ATL,03/28/2024,L,45,31,9,22,40.9,2,7,28.6,11,13,84.6,3,10,13,6,0,0,2,3,-11,53.6
LeBron James,LAL,LAL @ IND,03/29/2024,L,35,16,6,12,50,0,3,0,4,4,100,1,9,10,8,0,0,5,1,-13,35
Stephen Curry,GSW,GSW @ CHA,03/29/2024,W,32,23,9,18,50,4,11,36.4,1,1,100,0,1,1,4,1,0,0,1,13,33.2
James Harden,LAC,LAC @ ORL,03/29/2024,W,37,11,3,12,25,1,7,14.3,4,5,80,2,6,8,4,4,0,4,1,-3,34.6
Tyrese Maxey,PHI,PHI @ CLE,03/29/2024,L,43,16,7,26,26.9,2,12,16.7,0,1,0,0,2,2,11,2,0,3,0,3,37.9
Anthony Edwards,MIN,MIN @ DEN,03/29/2024,W,39,25,8,19,42.1,0,8,0,9,10,90,1,3,4,5,3,0,2,2,11,44.3
Kevin Durant,PHX,PHX @ OKC,03/29/2024,L,31,26,10,17,58.8,4,7,57.1,2,3,66.7,0,6,6,1,1,1,3,2,-15,37.7
Jalen Brunson,NYK,NYK @ SAS,03/29/2024,L,43,61,25,47,53.2,5,13,38.5,6,6,100,1,3,4,6,1,0,1,2,20,76.8
Victor Wembanyama,SAS,SAS vs. NYK,03/29/2024,W,38,40,13,22,59.1,4,9,44.4,10,12,83.3,5,15,20,7,2,1,4,2,1,79.5
Wendell Carter Jr.,ORL,ORL vs. LAC,03/29/2024,L,24,2,1,3,33.3,0,1,0,0,0,-,2,3,5,2,0,1,1,0,-3,13
Giannis Antetokounmpo,MIL,MIL @ ATL,03/30/2024,W,38,36,12,22,54.5,0,1,0,12,16,75,4,12,16,8,3,1,3,2,8,76.2
Jayson Tatum,BOS,BOS @ NOP,03/30/2024,W,36,23,10,17,58.8,3,6,50,0,0,-,1,8,9,4,0,0,4,1,8,35.8
Wendell Carter Jr.,ORL,ORL vs. MEM,03/30/2024,W,28,15,4,10,40,3,7,42.9,4,4,100,1,12,13,2,2,1,1,2,39,41.6
LeBron James,LAL,LAL @ BKN,03/31/2024,W,37,40,13,17,76.5,9,10,90,5,6,83.3,1,6,7,5,0,0,4,0,22,51.9
Stephen Curry,GSW,GSW @ SAS,03/31/2024,W,33,33,12,23,52.2,7,15,46.7,2,2,100,0,1,1,8,0,0,4,1,12,42.2
James Harden,LAC,LAC @ CHA,03/31/2024,W,36,6,1,3,33.3,1,3,33.3,3,4,75,0,6,6,10,1,0,0,0,6,31.2
Shai Gilgeous-Alexander,OKC,OKC @ NYK,03/31/2024,W,35,19,7,16,43.8,1,4,25,4,4,100,1,1,2,3,1,0,2,4,-15,26.9
Anthony Edwards,MIN,MIN vs. CHI,03/31/2024,L,36,22,9,20,45,0,5,0,4,6,66.7,2,9,11,5,0,1,6,1,-10,39.7
Jalen Brunson,NYK,NYK vs. OKC,03/31/2024,L,35,30,11,25,44,4,11,36.4,4,8,50,0,2,2,7,1,0,3,3,17,42.9
Victor Wembanyama,SAS,SAS vs. GSW,03/31/2024,L,31,32,10,22,45.5,3,10,30,9,10,90,1,8,9,5,4,3,5,2,-11,66.3
Kevin Durant,PHX,PHX @ NOP,04/01/2024,W,41,20,7,19,36.8,3,11,27.3,3,3,100,1,6,7,3,2,0,3,2,13,35.9
Jayson Tatum,BOS,BOS @ CHA,04/01/2024,W,34,25,9,19,47.4,4,10,40,3,3,100,0,10,10,4,2,1,4,2,14,48
Wendell Carter Jr.,ORL,ORL vs. POR,04/01/2024,W,31,17,6,10,60,1,4,25,4,7,57.1,3,10,13,5,3,1,2,2,13,50.1
LeBron James,LAL,LAL @ TOR,04/02/2024,W,29,23,10,12,83.3,1,1,100,2,5,40,0,4,4,9,0,0,1,0,13,40.3
Stephen Curry,GSW,GSW vs. DAL,04/02/2024,W,32,13,5,18,27.8,3,5,60,0,0,-,0,7,7,7,1,2,4,1,-4,36.9
James Harden,LAC,LAC @ SAC,04/02/2024,L,31,6,1,7,14.3,1,5,20,3,4,75,1,4,5,8,1,0,5,0,-13,22
Giannis Antetokounmpo,MIL,MIL @ WAS,04/02/2024,L,36,35,15,21,71.4,0,0,-,5,9,55.6,3,12,15,10,0,0,2,2,2,66
Anthony Edwards,MIN,MIN vs. HOU,04/02/2024,W,36,21,5,16,31.3,0,6,0,11,11,100,1,4,5,3,2,0,3,1,0,34.5
Jalen Brunson,NYK,NYK @ MIA,04/02/2024,L,36,20,5,18,27.8,1,6,16.7,9,10,90,0,2,2,10,0,0,5,2,-9,32.4
Victor Wembanyama,SAS,SAS @ DEN,04/02/2024,L,34,23,9,29,31,2,11,18.2,3,6,50,5,10,15,8,1,9,2,3,-9,81
Joel Embiid,PHI,PHI vs. OKC,04/02/2024,W,29,24,6,14,42.9,0,3,0,12,12,100,1,5,6,7,3,0,6,4,-2,44.7
LeBron James,LAL,LAL @ WAS,04/03/2024,W,36,25,9,18,50,0,1,0,7,9,77.8,2,5,7,9,3,0,4,2,9,51.9
Giannis Antetokounmpo,MIL,MIL vs. MEM,04/03/2024,L,32,21,10,23,43.5,0,4,0,1,3,33.3,1,6,7,8,1,5,3,4,3,56.4
Anthony Edwards,MIN,MIN vs. TOR,04/03/2024,W,30,28,10,23,43.5,5,12,41.7,3,5,60,0,3,3,6,2,0,0,0,26,46.6
Kevin Durant,PHX,PHX vs. CLE,04/03/2024,W,36,32,13,23,56.5,3,7,42.9,3,4,75,0,6,6,7,1,0,4,2,11,48.7
Jayson Tatum,BOS,BOS vs. OKC,04/03/2024,W,29,24,7,15,46.7,2,5,40,8,8,100,3,4,7,3,1,0,0,2,14,39.9
Wendell Carter Jr.,ORL,ORL @ NOP,04/03/2024,W,24,14,5,7,71.4,3,4,75,1,2,50,2,9,11,3,0,0,2,3,-3,29.7
Stephen Curry,GSW,GSW @ HOU,04/04/2024,W,31,29,9,14,64.3,2,6,33.3,9,9,100,0,6,6,6,0,0,3,2,29,42.2
James Harden,LAC,LAC vs. DEN,04/04/2024,W,38,20,6,23,26.1,2,13,15.4,6,7,85.7,1,5,6,8,1,0,1,0,4,41.2
Tyrese Maxey,PHI,PHI @ MIA,04/04/2024,W,41,37,15,26,57.7,5,14,35.7,2,2,100,2,7,9,11,1,1,1,3,26,69.3
Jalen Brunson,NYK,NYK vs. SAC,04/04/2024,W,38,35,12,20,60,2,5,40,9,10,90,0,2,2,11,3,0,3,2,22,59.9
Joel Embiid,PHI,PHI @ MIA,04/04/2024,W,33,29,11,25,44,3,6,50,4,5,80,0,4,4,3,1,1,1,2,-19,43.3
Stephen Curry,GSW,GSW @ DAL,04/05/2024,L,35,28,9,23,39.1,5,14,35.7,5,6,83.3,1,5,6,5,1,0,2,2,-5,43.7
James Harden,LAC,LAC vs. UTA,04/05/2024,W,33,13,4,10,40,2,7,28.6,3,3,100,0,10,10,15,0,0,5,1,19,42.5
Anthony Edwards,MIN,MIN @ PHX,04/05/2024,L,33,17,6,19,31.6,2,6,33.3,3,3,100,3,5,8,3,3,0,4,3,-13,36.1
Kevin Durant,PHX,PHX vs. MIN,04/05/2024,W,35,22,9,14,64.3,1,4,25,3,3,100,1,5,6,6,1,0,1,4,22,40.2
Jayson Tatum,BOS,BOS vs. SAC,04/05/2024,W,33,17,5,15,33.3,1,6,16.7,6,8,75,0,6,6,5,0,0,3,0,14,28.7
Jalen Brunson,NYK,NYK @ CHI,04/05/2024,L,42,35,13,28,46.4,1,5,20,8,10,80,1,5,6,11,2,0,5,1,-2,59.7
Victor Wembanyama,SAS,SAS @ NOP,04/05/2024,W,34,17,5,12,41.7,3,6,50,4,4,100,2,10,12,9,1,3,2,1,4,54.9
Wendell Carter Jr.,ORL,ORL @ CHA,04/05/2024,L,37,13,5,10,50,3,7,42.9,0,0,-,3,4,7,1,1,1,1,4,-15,27.9
LeBron James,LAL,LAL vs. CLE,04/06/2024,W,36,24,10,18,55.6,1,5,20,3,5,60,0,5,5,12,1,1,5,1,10,49
Tyrese Maxey,PHI,PHI @ MEM,04/06/2024,W,25,7,2,6,33.3,1,4,25,2,2,100,0,1,1,5,0,0,0,2,8,15.7
Joel Embiid,PHI,PHI @ MEM,04/06/2024,W,23,30,9,13,69.2,2,2,100,10,13,76.9,3,9,12,1,0,2,8,2,15,43.9
James Harden,LAC,LAC vs. CLE,04/07/2024,W,26,22,6,11,54.5,4,8,50,6,6,100,0,5,5,5,0,0,2,3,-20,33.5
Tyrese Maxey,PHI,PHI @ SAS,04/07/2024,W,54,52,19,41,46.3,2,10,20,12,12,100,0,5,5,7,2,0,1,2,14,73.5
Giannis Antetokounmpo,MIL,MIL vs. NYK,04/07/2024,L,39,28,10,20,50,0,1,0,8,11,72.7,3,12,15,8,1,2,4,2,-5,63
Anthony Edwards,MIN,MIN @ LAL,04/07/2024,W,35,26,9,20,45,3,8,37.5,5,5,100,0,1,1,8,1,0,1,1,2,41.2
Kevin Durant,PHX,PHX vs. NOP,04/07/2024,L,38,23,8,22,36.4,3,8,37.5,4,4,100,0,4,4,6,0,0,0,1,-12,36.8
Jalen Brunson,NYK,NYK @ MIL,04/07/2024,W,39,43,16,32,50,2,6,33.3,9,11,81.8,1,5,6,8,0,0,1,4,11,61.2
Victor Wembanyama,SAS,SAS vs. PHI,04/07/2024,L,43,33,11,20,55,5,10,50,6,7,85.7,3,15,18,6,0,7,9,1,-1,75.6
Wendell Carter Jr.,ORL,ORL vs. CHI,04/07/2024,W,34,11,5,11,45.5,1,6,16.7,0,0,-,2,6,8,3,2,1,0,5,7,34.1
LeBron James,LAL,LAL vs. GSW,04/09/2024,L,36,33,14,22,63.6,1,3,33.3,4,5,80,1,6,7,11,2,0,4,0,-6,59.9
Stephen Curry,GSW,GSW @ LAL,04/09/2024,W,32,23,7,9,77.8,6,6,100,3,4,75,0,7,7,8,1,2,1,2,13,51.4
Giannis Antetokounmpo,MIL,MIL vs. BOS,04/09/2024,W,29,15,7,11,63.6,0,0,-,1,2,50,3,5,8,7,1,2,4,1,17,40.1
Shai Gilgeous-Alexander,OKC,OKC vs. SAC,04/09/2024,W,38,40,11,21,52.4,2,3,66.7,16,20,80,1,6,7,4,2,2,5,2,6,61.4
Anthony Edwards,MIN,MIN vs. WAS,04/09/2024,W,38,51,17,29,58.6,6,13,46.2,11,11,100,1,5,6,7,0,0,2,0,6,66.7
Kevin Durant,PHX,PHX vs. LAC,04/09/2024,L,40,21,8,22,36.4,2,5,40,3,5,60,0,2,2,2,2,0,1,2,-14,31.4
Jayson Tatum,BOS,BOS @ MIL,04/09/2024,L,37,22,9,19,47.4,4,9,44.4,0,0,-,0,5,5,6,0,1,2,1,-11,38
Jalen Brunson,NYK,NYK @ CHI,04/09/2024,W,42,45,13,24,54.2,7,12,58.3,12,12,100,0,3,3,8,1,0,1,0,9,62.6
Victor Wembanyama,SAS,SAS @ MEM,04/09/2024,W,31,18,9,19,47.4,0,5,0,0,0,-,1,6,7,6,0,7,1,1,15,55.4
Wendell Carter Jr.,ORL,ORL @ HOU,04/09/2024,L,21,7,3,7,42.9,1,3,33.3,0,0,-,3,3,6,2,1,0,2,2,-11,18.2
Joel Embiid,PHI,PHI vs. DET,04/09/2024,W,36,37,12,22,54.5,4,9,44.4,9,10,90,2,9,11,8,3,2,5,4,17,72.2
Shai Gilgeous-Alexander,OKC,OKC vs. SAS,04/10/2024,W,26,26,10,18,55.6,1,3,33.3,5,5,100,0,6,6,5,0,0,1,1,26,39.7
Anthony Edwards,MIN,MIN @ DEN,04/10/2024,L,35,25,9,18,50,2,6,33.3,5,7,71.4,0,2,2,4,0,0,1,1,-16,32.4
Kevin Durant,PHX,PHX @ LAC,04/10/2024,W,37,24,10,21,47.6,2,9,22.2,2,2,100,0,9,9,3,1,2,4,0,8,44.3
Wendell Carter Jr.,ORL,ORL @ MIL,04/10/2024,L,23,9,3,9,33.3,1,4,25,2,2,100,2,1,3,0,0,0,1,2,-14,11.6
Trae Young,ATL,ATL vs. CHA,04/10/2024,L,21,14,5,5,100,2,2,100,2,2,100,0,4,4,11,1,0,5,1,16,33.3
Stephen Curry,GSW,GSW @ POR,04/11/2024,W,36,22,8,22,36.4,5,16,31.3,1,1,100,0,7,7,8,1,2,2,0,7,49.4
Jayson Tatum,BOS,BOS vs. NYK,04/11/2024,L,32,18,5,13,38.5,1,7,14.3,7,9,77.8,1,3,4,7,2,1,2,3,-30,40.3
Jalen Brunson,NYK,NYK @ BOS,04/11/2024,W,30,39,15,23,65.2,6,11,54.5,3,5,60,0,2,2,4,0,0,2,2,28,45.4
LeBron James,LAL,LAL @ MEM,04/12/2024,W,41,37,13,20,65,3,7,42.9,8,11,72.7,2,7,9,5,2,0,8,1,-3,53.3
Stephen Curry,GSW,GSW vs. NOP,04/12/2024,L,32,33,12,23,52.2,7,13,53.8,2,2,100,0,4,4,5,1,0,7,2,-8,41.3
James Harden,LAC,LAC vs. UTA,04/12/2024,L,10,4,1,4,25,0,2,0,2,3,66.7,0,0,0,5,0,0,1,0,8,10.5
Tyrese Maxey,PHI,PHI vs. ORL,04/12/2024,W,40,28,10,19,52.6,5,10,50,3,4,75,1,1,2,3,0,1,1,2,8,36.9
Shai Gilgeous-Alexander,OKC,OKC vs. MIL,04/12/2024,W,29,23,7,21,33.3,0,7,0,9,9,100,1,6,7,3,0,1,0,1,10,38.9
Anthony Edwards,MIN,MIN vs. ATL,04/12/2024,W,27,14,4,12,33.3,0,5,0,6,6,100,0,4,4,4,2,0,3,4,0,27.8
Kevin Durant,PHX,PHX @ SAC,04/12/2024,W,42,28,11,20,55,3,7,42.9,3,3,100,1,4,5,3,0,0,3,2,-4,35.5
Jalen Brunson,NYK,NYK vs. BKN,04/12/2024,W,37,30,10,25,40,3,7,42.9,7,7,100,0,1,1,11,1,0,0,2,7,50.7
Victor Wembanyama,SAS,SAS vs. DEN,04/12/2024,W,37,34,12,27,44.4,5,12,41.7,5,7,71.4,1,11,12,5,1,2,7,1,-11,57.9
Wendell Carter Jr.,ORL,ORL @ PHI,04/12/2024,L,4,4,2,3,66.7,0,1,0,0,0,-,0,0,0,0,0,0,0,2,-2,4
Joel Embiid,PHI,PHI vs. ORL,04/12/2024,W,32,32,10,23,43.5,4,7,57.1,8,9,88.9,0,13,13,7,0,1,4,2,22,57.1
Trae Young,ATL,ATL @ MIN,04/12/2024,L,27,19,6,12,50,3,7,42.9,4,6,66.7,0,2,2,7,1,0,2,1,16,32.9
LeBron James,LAL,LAL @ NOP,04/14/2024,W,38,28,11,20,55,0,2,0,6,6,100,2,9,11,17,5,1,4,0,19,80.7
Tyrese Maxey,PHI,PHI vs. BKN,04/14/2024,W,29,26,10,20,50,3,7,42.9,3,4,75,0,3,3,3,1,0,2,3,18,35.1
Shai Gilgeous-Alexander,OKC,OKC vs. DAL,04/14/2024,W,16,15,5,11,45.5,0,4,0,5,5,100,1,0,1,6,0,0,0,1,32,25.2
Anthony Edwards,MIN,MIN vs. PHX,04/14/2024,L,35,13,3,7,42.9,0,2,0,7,8,87.5,1,5,6,4,1,1,5,3,-21,27.2
Kevin Durant,PHX,PHX @ MIN,04/14/2024,W,38,15,6,14,42.9,1,3,33.3,2,2,100,2,2,4,1,2,1,4,3,30,26.3
Jalen Brunson,NYK,NYK vs. CHI,04/14/2024,W,41,40,14,30,46.7,1,4,25,11,12,91.7,2,6,8,7,0,0,4,1,1,56.1
Wendell Carter Jr.,ORL,ORL vs. MIL,04/14/2024,W,14,7,3,3,100,1,1,100,0,0,-,2,0,2,0,0,0,0,1,27,9.4
Trae Young,ATL,ATL @ IND,04/14/2024,L,32,12,4,9,44.4,1,4,25,3,3,100,1,2,3,12,0,0,8,1,-35,25.6
