PLAYER,MATCH UP,GAME DATE,W/L,MIN,PTS
Victor Wembanyama,SAS vs. LAC,11/22/2023,L,33,22
Jayson Tatum,BOS @ ORL,11/24/2023,L,39,26
Stephen Curry,GSW vs. SAS,11/24/2023,W,35,35
James Harden,LAC vs. NOP,11/24/2023,L,37,8
Giannis Antetokounmpo,MIL vs. WAS,11/24/2023,W,37,31
Anthony Edwards,MIN vs. SAC,11/24/2023,L,40,35
Jalen Brunson,NYK vs. MIA,11/24/2023,W,34,24
Victor Wembanyama,SAS @ GSW,11/24/2023,L,35,22
Trae Young,ATL @ WAS,11/25/2023,W,30,26
James Harden,LAC vs. DAL,11/25/2023,W,28,8
LeBron James,LAL @ CLE,11/25/2023,W,36,22
Shai Gilgeous-Alexander,OKC vs. PHI,11/25/2023,L,36,31
Tyrese Maxey,PHI @ OKC,11/25/2023,W,41,28
Joel Embiid,PHI @ OKC,11/25/2023,W,37,35
Trae Young,ATL @ BOS,11/26/2023,L,37,33
Jayson Tatum,BOS vs. ATL,11/26/2023,W,39,34
Giannis Antetokounmpo,MIL vs. POR,11/26/2023,W,39,33
Anthony Edwards,MIN @ MEM,11/26/2023,W,34,24
Jalen Brunson,NYK vs. PHX,11/26/2023,L,38,35
Victor Wembanyama,SAS @ DEN,11/26/2023,L,25,22
James Harden,LAC vs. DEN,11/27/2023,L,36,11
LeBron James,LAL @ PHI,11/27/2023,L,30,18
Tyrese Maxey,PHI vs. LAL,11/27/2023,W,36,31
Joel Embiid,PHI vs. LAL,11/27/2023,W,31,30
Trae Young,ATL @ CLE,11/28/2023,L,32,13
Jayson Tatum,BOS vs. CHI,11/28/2023,W,36,21
Stephen Curry,GSW @ SAC,11/28/2023,L,37,29
Giannis Antetokounmpo,MIL @ MIA,11/28/2023,W,40,33
Anthony Edwards,MIN vs. OKC,11/28/2023,W,28,21
Jalen Brunson,NYK vs. CHA,11/28/2023,W,34,12
Shai Gilgeous-Alexander,OKC @ MIN,11/28/2023,L,34,32
James Harden,LAC @ SAC,11/29/2023,W,39,26
LeBron James,LAL @ DET,11/29/2023,W,29,25
Tyrese Maxey,PHI @ NOP,11/29/2023,L,38,33
Kevin Durant,PHX @ TOR,11/29/2023,L,36,30
Trae Young,ATL @ SAS,11/30/2023,W,40,45
Stephen Curry,GSW vs. LAC,11/30/2023,W,33,26
James Harden,LAC @ GSW,11/30/2023,L,37,18
LeBron James,LAL @ OKC,11/30/2023,L,35,21
Giannis Antetokounmpo,MIL @ CHI,11/30/2023,L,39,26
Jalen Brunson,NYK vs. DET,11/30/2023,W,40,42
Shai Gilgeous-Alexander,OKC vs. LAL,11/30/2023,W,35,33
Victor Wembanyama,SAS vs. ATL,11/30/2023,L,29,21
Jayson Tatum,BOS vs. PHI,12/01/2023,W,27,21
Jalen Brunson,NYK @ TOR,12/01/2023,W,37,22
Kevin Durant,PHX vs. DEN,12/01/2023,L,36,30
Trae Young,ATL @ MIL,12/02/2023,L,37,32
Stephen Curry,GSW @ LAC,12/02/2023,L,37,22
James Harden,LAC vs. GSW,12/02/2023,W,35,21
LeBron James,LAL vs. HOU,12/02/2023,W,35,16
Giannis Antetokounmpo,MIL vs. ATL,12/02/2023,W,36,32
Shai Gilgeous-Alexander,OKC @ DAL,12/02/2023,W,39,17
Kevin Durant,PHX vs. MEM,12/02/2023,W,33,27
Jayson Tatum,BOS @ IND,12/04/2023,L,37,32
LeBron James,LAL vs. PHX,12/05/2023,W,40,31
Giannis Antetokounmpo,MIL vs. NYK,12/05/2023,W,34,35
Jalen Brunson,NYK @ MIL,12/05/2023,L,34,24
Kevin Durant,PHX @ LAL,12/05/2023,L,39,31
Trae Young,ATL vs. BKN,12/06/2023,L,37,30
Stephen Curry,GSW vs. POR,12/06/2023,W,34,31
James Harden,LAC vs. DEN,12/06/2023,W,32,20
Anthony Edwards,MIN vs. SAS,12/06/2023,W,37,17
Shai Gilgeous-Alexander,OKC @ HOU,12/06/2023,L,37,33
Tyrese Maxey,PHI @ WAS,12/06/2023,W,38,26
Joel Embiid,PHI @ WAS,12/06/2023,W,38,50
Victor Wembanyama,SAS @ MIN,12/06/2023,L,32,12
LeBron James,LAL vs. NOP,12/07/2023,W,23,30
Giannis Antetokounmpo,MIL vs. IND,12/07/2023,L,41,37
Jayson Tatum,BOS vs. NYK,12/08/2023,W,39,25
Stephen Curry,GSW @ OKC,12/08/2023,L,40,34
James Harden,LAC @ UTA,12/08/2023,W,34,12
Anthony Edwards,MIN @ MEM,12/08/2023,W,4,0
Jalen Brunson,NYK @ BOS,12/08/2023,L,34,23
Shai Gilgeous-Alexander,OKC vs. GSW,12/08/2023,W,42,38
Tyrese Maxey,PHI vs. ATL,12/08/2023,W,39,30
Joel Embiid,PHI vs. ATL,12/08/2023,W,36,38
Victor Wembanyama,SAS vs. CHI,12/08/2023,L,32,21
Trae Young,ATL vs. DEN,12/11/2023,L,26,19
James Harden,LAC vs. POR,12/11/2023,W,37,20
Giannis Antetokounmpo,MIL vs. CHI,12/11/2023,W,41,32
Jalen Brunson,NYK vs. TOR,12/11/2023,W,38,21
Shai Gilgeous-Alexander,OKC vs. UTA,12/11/2023,W,28,30
Tyrese Maxey,PHI vs. WAS,12/11/2023,W,25,24
Joel Embiid,PHI vs. WAS,12/11/2023,W,30,34
Victor Wembanyama,SAS @ HOU,12/11/2023,L,33,15
Jayson Tatum,BOS vs. CLE,12/12/2023,W,41,25
Stephen Curry,GSW @ PHX,12/12/2023,L,32,24
James Harden,LAC vs. SAC,12/12/2023,W,28,15
LeBron James,LAL @ DAL,12/12/2023,L,40,33
Trae Young,ATL @ TOR,12/13/2023,L,39,35
Giannis Antetokounmpo,MIL vs. IND,12/13/2023,W,37,64
Jalen Brunson,NYK @ UTA,12/13/2023,L,39,23
Tyrese Maxey,PHI @ DET,12/13/2023,W,33,9
Joel Embiid,PHI @ DET,12/13/2023,W,31,41
Kevin Durant,PHX vs. BKN,12/13/2023,L,38,27
Victor Wembanyama,SAS vs. LAL,12/13/2023,L,32,30
Jayson Tatum,BOS vs. CLE,12/14/2023,W,36,27
Stephen Curry,GSW @ LAC,12/14/2023,L,34,17
James Harden,LAC vs. GSW,12/14/2023,W,42,28
Anthony Edwards,MIN @ DAL,12/14/2023,W,35,9
Shai Gilgeous-Alexander,OKC @ SAC,12/14/2023,L,38,43
Trae Young,ATL @ TOR,12/15/2023,W,36,38
Jayson Tatum,BOS vs. ORL,12/15/2023,W,39,30
LeBron James,LAL @ SAS,12/15/2023,L,36,23
Jalen Brunson,NYK @ PHX,12/15/2023,W,35,50
