PLAYER,MATCH UP,GAME DATE,W/L,MIN,PTS
Shai Gilgeous-Alexander,OKC @ NYK,03/31/2024,W,35,19
Victor Wembanyama,SAS vs. GSW,03/31/2024,L,31,32
Jayson Tatum,BOS @ CHA,04/01/2024,W,34,25
Wendell Carter Jr.,ORL vs. POR,04/01/2024,W,31,17
Kevin Durant,PHX @ NOP,04/01/2024,W,41,20
Stephen Curry,GSW vs. DAL,04/02/2024,W,32,13
James Harden,LAC @ SAC,04/02/2024,L,31,6
LeBron James,LAL @ TOR,04/02/2024,W,29,23
Giannis Antetokounmpo,MIL @ WAS,04/02/2024,L,36,35
Anthony Edwards,MIN vs. HOU,04/02/2024,W,36,21
Jalen Brunson,NYK @ MIA,04/02/2024,L,36,20
Joel Embiid,PHI vs. OKC,04/02/2024,W,29,24
Victor Wembanyama,SAS @ DEN,04/02/2024,L,34,23
Jayson Tatum,BOS vs. OKC,04/03/2024,W,29,24
LeBron James,LAL @ WAS,04/03/2024,W,36,25
Giannis Antetokounmpo,MIL vs. MEM,04/03/2024,L,32,21
Anthony Edwards,MIN vs. TOR,04/03/2024,W,30,28
Wendell Carter Jr.,ORL @ NOP,04/03/2024,W,24,14
Kevin Durant,PHX vs. CLE,04/03/2024,W,36,32
Stephen Curry,GSW @ HOU,04/04/2024,W,31,29
James Harden,LAC vs. DEN,04/04/2024,W,38,20
Jalen Brunson,NYK vs. SAC,04/04/2024,W,38,35
Tyrese Maxey,PHI @ MIA,04/04/2024,W,41,37
Joel Embiid,PHI @ MIA,04/04/2024,W,33,29
Jayson Tatum,BOS vs. SAC,04/05/2024,W,33,17
Stephen Curry,GSW @ DAL,04/05/2024,L,35,28
James Harden,LAC vs. UTA,04/05/2024,W,33,13
Anthony Edwards,MIN @ PHX,04/05/2024,L,33,17
Jalen Brunson,NYK @ CHI,04/05/2024,L,42,35
Wendell Carter Jr.,ORL @ CHA,04/05/2024,L,37,13
Kevin Durant,PHX vs. MIN,04/05/2024,W,35,22
Victor Wembanyama,SAS @ NOP,04/05/2024,W,34,17
LeBron James,LAL vs. CLE,04/06/2024,W,36,24
Tyrese Maxey,PHI @ MEM,04/06/2024,W,25,7
Joel Embiid,PHI @ MEM,04/06/2024,W,23,30
James Harden,LAC vs. CLE,04/07/2024,W,26,22
Giannis Antetokounmpo,MIL vs. NYK,04/07/2024,L,39,28
Anthony Edwards,MIN @ LAL,04/07/2024,W,35,26
Jalen Brunson,NYK @ MIL,04/07/2024,W,39,43
Wendell Carter Jr.,ORL vs. CHI,04/07/2024,W,34,11
Tyrese Maxey,PHI @ SAS,04/07/2024,W,54,52
Kevin Durant,PHX vs. NOP,04/07/2024,L,38,23
Victor Wembanyama,SAS vs. PHI,04/07/2024,L,43,33
Jayson Tatum,BOS @ MIL,04/09/2024,L,37,22
Stephen Curry,GSW @ LAL,04/09/2024,W,32,23
LeBron James,LAL vs. GSW,04/09/2024,L,36,33
Giannis Antetokounmpo,MIL vs. BOS,04/09/2024,W,29,15
Anthony Edwards,MIN vs. WAS,04/09/2024,W,38,51
Jalen Brunson,NYK @ CHI,04/09/2024,W,42,45
Shai Gilgeous-Alexander,OKC vs. SAC,04/09/2024,W,38,40
Wendell Carter Jr.,ORL @ HOU,04/09/2024,L,21,7
Joel Embiid,PHI vs. DET,04/09/2024,W,36,37
Kevin Durant,PHX vs. LAC,04/09/2024,L,40,21
Victor Wembanyama,SAS @ MEM,04/09/2024,W,31,18
Trae Young,ATL vs. CHA,04/10/2024,L,21,14
Anthony Edwards,MIN @ DEN,04/10/2024,L,35,25
Shai Gilgeous-Alexander,OKC vs. SAS,04/10/2024,W,26,26
Wendell Carter Jr.,ORL @ MIL,04/10/2024,L,23,9
Kevin Durant,PHX @ LAC,04/10/2024,W,37,24
Jayson Tatum,BOS vs. NYK,04/11/2024,L,32,18
Stephen Curry,GSW @ POR,04/11/2024,W,36,22
Jalen Brunson,NYK @ BOS,04/11/2024,W,30,39
Trae Young,ATL @ MIN,04/12/2024,L,27,19
Stephen Curry,GSW vs. NOP,04/12/2024,L,32,33
James Harden,LAC vs. UTA,04/12/2024,L,10,4
LeBron James,LAL @ MEM,04/12/2024,W,41,37
Anthony Edwards,MIN vs. ATL,04/12/2024,W,27,14
Jalen Brunson,NYK vs. BKN,04/12/2024,W,37,30
Shai Gilgeous-Alexander,OKC vs. MIL,04/12/2024,W,29,23
Wendell Carter Jr.,ORL @ PHI,04/12/2024,L,4,4
Tyrese Maxey,PHI vs. ORL,04/12/2024,W,40,28
Joel Embiid,PHI vs. ORL,04/12/2024,W,32,32
Kevin Durant,PHX @ SAC,04/12/2024,W,42,28
Victor Wembanyama,SAS vs. DEN,04/12/2024,W,37,34
Trae Young,ATL @ IND,04/14/2024,L,32,12
LeBron James,LAL @ NOP,04/14/2024,W,38,28
Anthony Edwards,MIN vs. PHX,04/14/2024,L,35,13
Jalen Brunson,NYK vs. CHI,04/14/2024,W,41,40
Shai Gilgeous-Alexander,OKC vs. DAL,04/14/2024,W,16,15
Wendell Carter Jr.,ORL vs. MIL,04/14/2024,W,14,7
Tyrese Maxey,PHI vs. BKN,04/14/2024,W,29,26
Kevin Durant,PHX @ MIN,04/14/2024,W,38,15
